usindex,examiner_art_unit,uspc_class,rejection,allowance
8783625,3752,239,0.6030885542113763,0.3969114457886237
6077665,3902,001,0.9999923676490821,7.63235091798465e-06
8517353,3761,604,0.6305111424845348,0.36948885751546523
1386312,3202,439,0.6018968547329097,0.39810314526709034
588481,1102,204,0.5814854339872617,0.41851456601273823
3102406,3629,206,0.8318585342455321,0.1681414657544679
1381838,1513,428,0.6414334063927767,0.35856659360722337
9530877,3746,418,0.6680141914219435,0.33198580857805643
2212408,1752,430,0.7078037277582514,0.29219627224174866
10167348,2644,455,0.40757444727927483,0.5924255527207252
1323357,1206,549,0.6413089468669091,0.3586910531330909
5539411,1638,800,0.476255867145558,0.523744132854442
9795877,2684,340,0.46028331630999897,0.539716683690001
8683975,3748,060,0.38255369232915404,0.617446307670846
7519650,2815,257,0.44754403304383505,0.552455966956165
9319655,3747,123,0.501621683662812,0.498378316337188
6749992,2853,257,0.3733591784392005,0.6266408215607995
5358769,1729,429,0.5259087522891216,0.4740912477108784
357444,3207,999,0.580748644193249,0.419251355806751
7735841,3624,705,0.8170480927900684,0.18295190720993157
1706494,3738,623,0.5826798665014277,0.4173201334985724
7839811,3902,001,0.9999923676490821,7.63235091798465e-06
7217915,2896,257,0.42780711831925233,0.5721928816807477
4439562,2858,320,0.4314823636018461,0.5685176363981539
15170788,3735,600,0.544159757455774,0.45584024254422595
7147776,2875,362,0.5415486987984375,0.45845130120156247
10045599,2921,D02,0.03344610803516368,0.9665538919648363
14298455,2103,174,0.5918019671181289,0.4081980328818711
10377144,2849,331,0.5963575939210273,0.4036424060789728
3199922,2817,333,0.41119273850525184,0.5888072614947482
5936063,2612,340,0.614405791211132,0.385594208788868
2838841,2833,439,0.5328072408797928,0.46719275912020725
8173595,2872,359,0.5251790915557636,0.4748209084442364
1016616,1813,436,0.784682749317414,0.21531725068258598
6912310,2882,353,0.41118487779688495,0.588815122203115
5056633,3771,606,0.5724550071854928,0.42754499281450714
8889958,3744,062,0.596372444729135,0.4036275552708651
9746680,1623,536,0.658535454605046,0.34146454539495397
7598597,2132,711,0.3886859937906857,0.6113140062093143
5478530,2175,715,0.4718923215928774,0.5281076784071226
2462639,1732,264,0.6097886562437034,0.39021134375629657
1713025,1109,136,0.740550135940756,0.259449864059244
286702,1104,429,0.48549931691013515,0.5145006830898649
9719578,3792,600,0.6433973788942742,0.3566026211057258
7753288,2837,318,0.35782232545706505,0.642177674542935
7256435,2446,709,0.38430000057008373,0.6156999994299163
1554475,2515,330,0.5127784250278971,0.4872215749721029
6354378,2862,396,0.6595949829411427,0.3404050170588573
9527720,1786,428,0.5757213509925762,0.42427864900742385
3709200,1753,205,0.6200747907817705,0.3799252092182294
3354742,1639,435,0.7800991120279788,0.21990088797202123
2290463,1617,424,0.7026994875108419,0.2973005124891581
2758012,2856,073,0.4370517773374216,0.5629482226625784
9840298,2914,D23,0.014261106103077958,0.985738893896922
8011198,2453,709,0.4816149902046204,0.5183850097953796
2556590,2675,345,0.3332682298135885,0.6667317701864115
5451687,1791,425,0.708836985493321,0.291163014506679
8373441,3753,138,0.5607913774932904,0.43920862250670956
6722166,3902,001,0.9999923676490821,7.63235091798465e-06
8949260,2917,D32,0.011717875888496154,0.9882821241115038
4904058,3689,705,0.91820692640063,0.08179307359937005
7543982,3765,002,0.6444820934404472,0.35551790655955284
10534742,2924,D16,0.01278789253798951,0.9872121074620105
7819500,2891,438,0.4703140342669525,0.5296859657330475
10146977,1626,514,0.6098142256354173,0.3901857743645827
15281364,2811,257,0.6168023095090628,0.3831976904909372
4900487,1646,536,0.7279281798339585,0.2720718201660415
454095,1505,524,0.6244274327032182,0.37557256729678185
7216471,2485,375,0.4228556548045028,0.5771443451954972
10041020,1624,544,0.5604772094931001,0.43952279050689996
5794914,2914,D24,0.02295204200445411,0.9770479579955459
740665,3406,362,0.6344901412137341,0.36550985878626585
9528943,1793,426,0.7865270851366309,0.21347291486336903
4358327,2422,348,0.4681119125743999,0.5318880874256001
15923613,1778,210,0.6150141641816776,0.38498583581832235
5752078,2882,355,0.40968596447336103,0.590314035526639
1517889,3205,228,0.612199859370639,0.387800140629361
3703104,1771,428,0.6822735689989945,0.3177264310010055
7549711,3735,600,0.544159757455774,0.45584024254422595
6947109,2818,257,0.3569257239582023,0.6430742760417977
1601959,2411,364,0.43707240833327865,0.5629275916667213
8373098,2182,708,0.5154706856712898,0.4845293143287101
10260285,3763,165,0.6092875814566174,0.39071241854338257
7684490,2413,370,0.48220524149253374,0.5177947585074663
686613,3105,406,0.6669780028669783,0.3330219971330217
7702458,3778,128,0.42447526490703935,0.5755247350929606
901653,1805,435,0.7209363889561056,0.2790636110438944
8058508,2855,073,0.47652390092609476,0.5234760990739052
4893822,1792,134,0.715724510989685,0.284275489010315
5337316,3766,607,0.5146867152628593,0.48531328473714075
1525709,3303,119,0.6740575171963696,0.3259424828036304
1231452,2308,395,0.6623502997141726,0.33764970028582736
1448081,1101,134,0.5977927148268605,0.4022072851731396
5487519,2881,250,0.422980782883991,0.577019217116009
4083515,2911,D13,0.01727451195925611,0.9827254880407439
5646966,3671,037,0.5535218016751152,0.4464781983248848
6414486,2916,D09,0.019732698418928885,0.9802673015810711
3423373,2822,438,0.4371554116337977,0.5628445883662023
7774578,1622,549,0.5211422086892297,0.47885779131077033
5058281,2617,370,0.6546058316329298,0.34539416836707015
7778777,2913,D12,0.023352016637125383,0.9766479833628746
8152175,3644,244,0.4447608553806067,0.5552391446193933
4641062,2817,330,0.3587645550288211,0.6412354449711789
9332793,2113,714,0.40224270751286484,0.5977572924871352
